image_id,category,title,alt_text,filename,file_path,file_size,mime_type,width,height,is_active,tags,metadata,created_at,updated_at
hero_main,hero,Ana Sayfa Hero Görseli,EventHubble ana sayfa hero resmi,hero-events-main.jpg,/images/hero/hero-events-main.jpg,1250000,image/jpeg,1920,1080,true,"{""hero"",""main"",""events"",""istanbul""}","{""photographer"": ""Mehmet Yılmaz"", ""location"": ""İstanbul"", ""usage_rights"": ""commercial""}",2024-01-15 11:00:00,2024-01-15 11:00:00
hero_music,hero,Müzik Hero Görseli,Müzik etkinlikleri hero resmi,hero-music-concert.jpg,/images/hero/hero-music-concert.jpg,980000,image/jpeg,1920,1080,true,"{""hero"",""music"",""concert"",""stage""}","{""photographer"": ""Ayşe Demir"", ""location"": ""Zorlu PSM"", ""usage_rights"": ""commercial""}",2024-01-15 11:05:00,2024-01-15 11:05:00
category_music,icon,Müzik Kategorisi İkonu,Müzik etkinlikleri kategorisi ikonu,music-category-icon.svg,/images/categories/music-category-icon.svg,15000,image/svg+xml,128,128,true,"{""category"",""music"",""icon"",""vector""}","{""designer"": ""UI Team"", ""color_scheme"": ""purple"", ""version"": ""2.1""}",2024-01-15 11:10:00,2024-01-15 11:10:00
category_sports,icon,Spor Kategorisi İkonu,Spor etkinlikleri kategorisi ikonu,sports-category-icon.svg,/images/categories/sports-category-icon.svg,18000,image/svg+xml,128,128,true,"{""category"",""sports"",""icon"",""vector""}","{""designer"": ""UI Team"", ""color_scheme"": ""orange"", ""version"": ""2.1""}",2024-01-15 11:15:00,2024-01-15 11:15:00
category_theater,icon,Tiyatro Kategorisi İkonu,Tiyatro etkinlikleri kategorisi ikonu,theater-category-icon.svg,/images/categories/theater-category-icon.svg,16000,image/svg+xml,128,128,true,"{""category"",""theater"",""icon"",""vector""}","{""designer"": ""UI Team"", ""color_scheme"": ""red"", ""version"": ""2.1""}",2024-01-15 11:20:00,2024-01-15 11:20:00
category_festival,icon,Festival Kategorisi İkonu,Festival etkinlikleri kategorisi ikonu,festival-category-icon.svg,/images/categories/festival-category-icon.svg,20000,image/svg+xml,128,128,true,"{""category"",""festival"",""icon"",""vector""}","{""designer"": ""UI Team"", ""color_scheme"": ""green"", ""version"": ""2.1""}",2024-01-15 11:25:00,2024-01-15 11:25:00
event_sezen_aksu,event,Sezen Aksu Konseri Afişi,Sezen Aksu konseri etkinlik afişi,sezen-aksu-concert-poster.jpg,/images/events/sezen-aksu-concert-poster.jpg,450000,image/jpeg,800,600,true,"{""event"",""concert"",""sezen-aksu"",""poster""}","{""event_date"": ""2024-06-15"", ""venue"": ""Volkswagen Arena"", ""ticket_platform"": ""Biletix""}",2024-01-15 11:30:00,2024-01-15 11:30:00
event_hamlet,event,Hamlet Tiyatro Afişi,Hamlet tiyatro oyunu etkinlik afişi,hamlet-theater-poster.jpg,/images/events/hamlet-theater-poster.jpg,380000,image/jpeg,800,600,true,"{""event"",""theater"",""hamlet"",""shakespeare""}","{""event_date"": ""2024-07-20"", ""venue"": ""İstanbul Devlet Tiyatrosu"", ""director"": ""Ahmet Levendoğlu""}",2024-01-15 11:35:00,2024-01-15 11:35:00
event_jazz_festival,event,İstanbul Jazz Festivali Afişi,İstanbul Jazz Festivali etkinlik afişi,istanbul-jazz-festival-poster.jpg,/images/events/istanbul-jazz-festival-poster.jpg,520000,image/jpeg,800,600,true,"{""event"",""festival"",""jazz"",""istanbul""}","{""event_date"": ""2024-07-01"", ""venue"": ""Çeşitli Mekanlar"", ""organizer"": ""İKSV""}",2024-01-15 11:40:00,2024-01-15 11:40:00
banner_summer,banner,Yaz Etkinlikleri Banner,Yaz sezonu etkinlikleri banner resmi,summer-events-banner.jpg,/images/banners/summer-events-banner.jpg,650000,image/jpeg,1200,400,true,"{""banner"",""summer"",""seasonal"",""promotion""}","{""campaign"": ""Yaz 2024"", ""valid_until"": ""2024-08-31"", ""discount"": ""20%""}",2024-01-15 11:45:00,2024-01-15 11:45:00 